ts	phase	decision	why	evidence	result
2026-09-20T04:30:00Z	frame	Routed the task to figure-it-out rather than Feature or Multi-phase plan	Ambitious multi-part change the user steps away from, and the plan reference is explicitly plan-only while the user asked for execution	~/.copilot/pstack/skills/poteto-mode/SKILL.md playbook index	playbook adopted, phases A-E in todolist
2026-09-20T04:33:00Z	frame	Captured the pre-change test baseline before touching anything	The harness check has to read as old value vs new value, so the baseline must predate the work	python -m pytest -q on 91bbf78	1048 passed in 86.63s, exit 0
2026-09-20T05:40:00Z	design	Ran a four-candidate design arena with a cross-judge on a fifth model	The harness domain model is a one-way door with no precedent in this repo	arena candidates a-d, judge verdict in session run_log	base b chosen, my own pick of a was overturned
2026-09-20T05:41:00Z	design	Verified the judge's decisive claim against source before accepting it	It overturned my pick, so it had to be checked not deferred to	supervisor.py:686 except KeyboardInterrupt, finally at :713 removes loop_pid_file	confirmed, an exception cannot simulate a crash
2026-09-20T06:20:00Z	unit1	Built operator_bench, a scored harness that runs the real supervisor against scripted seats	The owner asked for a way to tell whether kernel changes improve or degrade the result	operator_bench/, 8 modules, commits d36df02..429d278	5 scenarios run in 16.4s, 1094 tests green
2026-09-20T06:21:00Z	unit1	Proved the harness never touches the real fleet	A subprocess test in this repo once created two real tmux sessions on the owner machine	before/after of ~/.operator and tmux list-sessions	all 9 files byte-identical, 133 restart entries unchanged, zero mux sessions
2026-09-20T06:22:00Z	unit1	Sent back five scoring defects rather than accepting the first green run	The worst was that any nonzero exit scored as a successful detection, so the harness could report its own crash as a pass	score.py kernel_stopped and classify, commit 1f3860a	fixed, INVALID outcome added and excluded from both rates
2026-09-20T06:23:00Z	unit1	Mutation-tested the fix myself instead of trusting the report	A test that passes with and without the fix proves nothing	replaced classify with the old any-nonzero-is-detection rule	2 tests went red, reverted, 1101 green
2026-09-20T07:05:00Z	unit1	Let an oracle declare a give-up that arrives as an exception, not an exit code	supervisor.py:432 re-raises MuxSessionError after MAX_LAUNCH_FAILURES, so crash-loop has no exit code to match	score.py classify, scenario.py Oracle.expected_error, suite.py crash_loop	crash-loop scores detection again, unexpected errors still invalid
2026-09-20T07:06:00Z	finding	The kernel gives up on repeated launch failure by letting MuxSessionError escape run_loop_mode	Found because the harness refused to score an errored run as a success	supervisor.py:430-432, observed error MuxSessionError: Failed to create session	open, reported to the owner, not fixed in this PR
2026-09-20T07:40:00Z	unit1	Reproduced the Linux-only CI failure in WSL instead of iterating through CI	CI round trips are minutes; WSL reproduced it in 0.43s	~/benchrepo in Ubuntu-24.04, tar piped over stdin	reproduced exactly, same clock-exhausted error
2026-09-20T07:41:00Z	unit1	Scoped the virtual clock to kernel modules after it turned out to be patched onto the time module	subprocess Popen._wait busy-waits on time.sleep on POSIX and blocks without sleeping on Windows, so every git probe burned the budget on Linux only	child.py _install_clock, commit 5691ae6	all four CI jobs green, identical scorecards on both platforms
2026-09-20T07:42:00Z	unit1	Proved the new regression test goes red on Linux with the bug restored	The test cannot fail on Windows, where Popen._wait never sleeps, so passing locally proved nothing	WSL mutation putting back the global time patch	AssertionError: ['subprocess._wait'], genuine coverage
2026-09-20T07:55:00Z	unit2	Recorded the progress verdict as a typed ledger event carrying both fingerprints	The supervisor central decision was in probes.log and streak files but not in the ledger the project treats as evidence	operator_kernel/evidence.py record_progress_verdict, supervisor.py 2-line call site, commit c8b8502	verdict_in_ledger_coverage 0 to 1, n=25, intervals do not overlap
2026-09-20T07:56:00Z	unit2	Measured the change by reverting only the kernel edit and keeping the new metric	Comparing against the parent commit would have varied two things at once	git checkout 8d2f88e -- evidence.py supervisor.py, then restore	0 Wilson [0, 0.1332] before, 1 Wilson [0.8668, 1] after
2026-09-20T08:35:00Z	unit3	Chained the ledger per writer rather than with a global sequence	Every supervisor process appends to one trace.jsonl with no lock, so a global counter would race between seats	operator_kernel/ledger_chain.py, evidence.py opt-in, commits 77f1802..5755f58	ledger_chain_verified NoEstimate to 1, 1141 tests green
2026-09-20T08:36:00Z	unit3	Mutation-tested the verifier by making it always return Verified	A verifier that always says yes makes the metric worthless and would look identical in a green run	edited verify_records to return Verified unconditionally	14 tests went red, reverted
2026-09-20T09:20:00Z	unit4	Recorded seat spend as a ledger fact and gated launches on an optional ceiling	plan.md 7 and 12.3: record always, ceilings unlimited by default, and at a limit stop launching rather than ask a model to economise	operator_kernel/spend.py, extension_seam.py gate, config SPEND_CEILING, commits b5db932..b928db3	spend_recorded_coverage and spend_ceiling_fidelity both 1, supervisor.py untouched
2026-09-20T09:21:00Z	unit4	Rejected the delegate compression of the existing fixtures and raised the bench budget instead	It rewrote five readable fixtures to positional args to fit 900 of 900 lines, which is this repo own recorded failure mode	commit 9862038	budget now 1200, bench measures 946
2026-09-20T09:22:00Z	unit4	Folded the spend scenario into scenarios() and deleted the test that kept it out	run_suite already ran it, so a scenarios() that omitted it under-reported the suite	commit 9862038, false_alarm_rate n went 1 to 2	suite now declares what it runs
2026-09-20T09:23:00Z	unit4	Mutation-tested the ceiling gate by deleting it	A green suite could not distinguish a binding gate from a scenario that merely ran out of clock	set blocked=None in extension_seam.admits	2 tests red including the end-to-end scenario, mutant ran all 4 sessions
2026-09-20T10:05:00Z	review	Cross-model review by gpt-6-astra found real defects in all four PRs	Self-review is not a substitute for a different family reading the same diff	see reviewer findings recorded below	4 acted on, 2 corrections to my own trail
2026-09-20T10:06:00Z	correction	Supersedes the 06:21 isolation row: I checked names, sizes, mtimes and directory counts, not bytes	The row said byte-identical, which overstates what the command actually compared	reviewer checked the recorded commands	claim narrowed to no observed metadata change
2026-09-20T10:07:00Z	correction	Supersedes the 05:40 design row: the cross-judge was gpt-6-astra, the same model as candidate b, which it then picked	The row implied a fifth independent model, and a judge sharing a family with the candidate it picks is a bias I should have avoided	I set both in the task calls	the pick still verified independently against supervisor.py:686, but the judge was not independent of b
2026-09-20T10:08:00Z	unit4	Removed the dual-key spend lookup rather than leaving two candidate filenames	seat_figure tried the display name then a sanitized name, and safe_instance_id is not idempotent, so no filename was canonical	spend.py seat_figure, exits.py now records under instance.id	1174 tests green, spend metrics unchanged
2026-09-20T10:09:00Z	unit3	Corrected docs/ledger.md: a per-writer chain cannot see a whole writer removed, or a writer trailing records removed	The doc claimed Gap never Verified for rotation loss, which is only true when surviving records bracket the loss	probe: drop writer W2 -> Verified, drop W1 last record -> Verified, drop W1 middle record -> Gap	doc corrected, limits pinned by tests
2026-09-20T10:35:00Z	review	Fixed the two scorer findings the reviewer raised rather than leaving them as known issues	They changed what a number means, and a benchmark that flatters the kernel is worse than none	score.py _in_window and _ceiling_held	detection now requires the oracle window; fidelity reads the refusal record and drops to 0 when the gate is deleted
